User_ID,Age,Gender,Occupation,Country_Region,Stress_Level_Before,Stress_Level_After,Mood_Score,Sleep_Hours,Meditation_Minutes_Per_Day,Yoga_Minutes_Per_Day,Affirmations_Per_Day,Reels_Viewed_Per_Day,Podcast_Listening_Minutes,Audiobook_Listening_Minutes,App_Usage_Minutes_Per_Day,Streak_Days,Challenge_Participation,Subscription_Type,Productivity_Score,Mindfulness_Score,User_Satisfaction
USR0001,36,Male,Freelancer,India,4.0,3.9,8.5,5.6,5.3,12.4,3,6,2.9,30.3,49.6,36,Yes,Free,4.5,51.2,4.7
USR0002,30,Male,Homemaker,USA,5.0,4.9,8.4,6.8,2.6,23.7,4,9,2.4,5.9,56.3,26,No,Free,5.3,65.8,4.5
USR0003,38,Male,Entrepreneur,USA,8.0,6.1,9.3,6.8,18.6,16.0,4,16,22.9,50.8,105.9,33,Yes,Premium,4.4,50.0,5.5
USR0004,47,Male,Student,USA,7.9,7.3,7.0,7.0,7.7,1.7,1,7,35.5,6.1,57.2,8,No,Free,3.6,35.5,3.2
USR0005,29,Female,Student,UK,8.4,7.8,8.2,6.0,22.9,12.1,5,9,20.8,24.1,87.2,56,Yes,Premium,3.9,77.5,6.0
USR0006,29,Non-Binary,Retired,India,6.2,4.9,7.4,5.5,13.1,13.0,5,9,5.6,19.2,66.6,35,Yes,Free,4.4,47.3,3.4
USR0007,47,Male,Working Professional,Australia,7.0,6.3,7.3,5.0,20.8,11.4,5,11,22.5,6.4,64.7,10,No,Free,3.4,56.0,3.8
USR0008,39,Non-Binary,Working Professional,Canada,7.8,7.0,7.2,5.5,20.7,17.1,3,9,17.0,16.5,77.2,28,Yes,Premium,3.5,60.0,4.6
USR0009,27,Female,Freelancer,USA,6.1,6.1,8.2,6.2,1.7,13.8,1,9,8.9,9.5,51.4,34,Yes,Free,4.4,54.6,4.8
USR0010,37,Male,Freelancer,India,3.7,2.7,8.3,7.5,29.3,12.2,5,8,7.0,27.0,80.4,90,No,Free,6.2,76.3,6.1
USR0011,27,Male,Entrepreneur,Australia,9.3,7.7,9.3,6.3,15.6,33.6,4,11,52.6,11.6,107.2,63,Yes,Premium,4.3,39.4,6.9
USR0012,27,Female,Entrepreneur,Singapore,8.4,5.4,9.7,7.3,63.3,18.6,11,19,29.5,25.0,153.8,53,No,Premium,5.0,100.0,6.5
USR0013,34,Female,Freelancer,India,6.6,6.0,8.1,4.8,1.9,18.1,1,8,20.8,17.0,62.7,56,Yes,Free,3.6,51.3,4.3
USR0014,18,Female,Working Professional,USA,4.9,2.7,10.0,7.3,57.6,11.4,7,7,17.8,22.2,108.2,33,Yes,Premium,6.7,96.7,6.7
USR0015,18,Male,Retired,India,7.3,5.0,8.0,8.0,11.4,21.6,9,13,67.9,51.2,116.1,27,Yes,Premium,5.2,58.7,5.3
USR0016,26,Male,Student,UK,6.3,5.1,9.7,7.4,13.9,35.9,6,15,22.8,23.8,114.2,34,No,Premium,5.7,85.9,6.4
USR0017,21,Male,Working Professional,India,8.2,8.7,5.9,7.1,0.7,5.8,4,9,24.5,15.1,51.3,77,Yes,Free,3.0,44.0,4.1
USR0018,35,Male,Retired,USA,6.8,5.9,7.0,6.2,18.3,18.1,2,7,61.9,13.7,92.4,52,Yes,Free,4.6,58.2,4.1
USR0019,22,Male,Working Professional,Canada,6.5,4.5,9.5,6.6,38.5,23.5,7,14,29.2,29.2,126.9,29,Yes,Premium,4.8,92.3,6.8
